played_at,track_id,track_name,duration_ms,popularity,explicit,album_id,album_name,album_release_date,artist_id,artist_name,load_date
2025-12-20 20:04:40.093000+00:00,1MpCaOeUWhox2Fgigbe1cL,I'M THAT GIRL,208014,66,True,6FJxoadUE4JNVwWHghBwnb,RENAISSANCE,2022-07-29,6vWDO969PvNqNYHIOW5v0m,Beyoncé,2025-12-21
2025-12-20 19:38:40.165000+00:00,7vpGKEUPrA4UEsS4o4W1tP,Amor de Que,157928,53,False,67rOBOMZsXiQwoPpZbnC8b,111,2020-03-24,6tzRZ39aZlNqlUzQlkuhDV,Pabllo Vittar,2025-12-21
2025-12-20 19:36:10.126000+00:00,7L9AtCgNka6hR5HQ0y0aR0,Lugar Perfeito,152078,54,False,1h9SJU080omTqqqDf68qc9,Ensaios Da Anitta,2024-12-06,7FNnA9vBm6EKceENgCGRMb,Anitta,2025-12-21
2025-12-20 19:33:40.044000+00:00,1WGmyxoPCfOrk7uT2z3Zuu,CAVALINHO,138591,63,False,28MLfO3QWZB7lKz73TDdvs,ASTRO,2024-09-04,5wbf52LA6kcaboHSN6NEF1,PEDRO SAMPAIO,2025-12-21
2025-12-20 19:31:10.582000+00:00,3jhyw60F61gc7nC4dblqtC,JETSKI,148645,0,True,4pjiSoP1rvrhDRsD1Hey6o,JETSKI,2025-12-18,5wbf52LA6kcaboHSN6NEF1,PEDRO SAMPAIO,2025-12-21
2025-12-20 19:28:12.721000+00:00,1V6gIVSrMEJCRyogBnIrNr,ENSAIO DAS MARAVILHAS,176000,63,False,0WySBFNRnQ1HeXUHckbpLw,ENSAIO DAS MARAVILHAS,2023-02-13,5wbf52LA6kcaboHSN6NEF1,PEDRO SAMPAIO,2025-12-21
2025-12-20 19:25:41.325000+00:00,3jhyw60F61gc7nC4dblqtC,JETSKI,148645,0,True,4pjiSoP1rvrhDRsD1Hey6o,JETSKI,2025-12-18,5wbf52LA6kcaboHSN6NEF1,PEDRO SAMPAIO,2025-12-21
2025-12-20 18:27:40.127000+00:00,2s4nhrlWTnmzSnGFH5pyAM,GOSTOSIN,129090,70,False,6EkCnMeO4zOURLKlTKbl39,Ensaios Da Anitta,2025-12-04,7FNnA9vBm6EKceENgCGRMb,Anitta,2025-12-21
2025-12-20 18:25:10.413000+00:00,0W6aXi2B0UlwY0sPckvrmT,Foguinho,82971,66,False,2lHhpY2cSNO1kjyReGEfrK,Rock Doido,2025-08-29,5kn7l4yaJxtNhj583LmL9L,Gaby Amarantos,2025-12-21
2025-12-20 18:24:10.157000+00:00,7hPSlGAChIcqAbBXFgbcdq,Penetra - Pedro Sampaio Remix,150824,48,False,4aj7OO4L022IGAz5zbQwJZ,AFTER,2023-07-27,6tzRZ39aZlNqlUzQlkuhDV,Pabllo Vittar,2025-12-21
2025-12-21 15:25:24.796000+00:00,1knrvScmRb6ZCPPsBzDHcy,1 Wish,167105,73,False,7KlrorqixG3qKh4nHmfoJt,1 Wish,2024-10-31,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,2025-12-21
2025-12-21 15:15:19.473000+00:00,3bg2qahpZmsg5wV2EMPXIk,Forever Young,156923,74,False,5a450MS1eKGQQAsqgvsZ6J,Forever Young,2024-10-18,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,2025-12-21
2025-12-21 15:13:06.889000+00:00,28VbwtsYnj85UEODGpQRem,"Alone, Pt. II",179052,72,False,3KrkQ77DF9OUB0aOzKFYOF,World Of Walker,2021-11-26,7vk5e3vY1uw9plTHJAMwjN,Alan Walker,2025-12-21
2025-12-21 15:09:58.196000+00:00,28VbwtsYnj85UEODGpQRem,"Alone, Pt. II",179052,72,False,3KrkQ77DF9OUB0aOzKFYOF,World Of Walker,2021-11-26,7vk5e3vY1uw9plTHJAMwjN,Alan Walker,2025-12-21
2025-12-21 15:08:34.272000+00:00,2x0WlnmfG39ZuDmstl9xfX,End Game,244826,74,False,6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2025-12-21
2025-12-21 14:58:33.265000+00:00,2yLa0QULdQr0qAIvVwN6B5,...Ready For It?,208186,79,False,6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2025-12-21
2025-12-21 20:33:35.366000+00:00,0qEGLPc8UY9IkXl1oLCOWW,SEQUÊNCIA CUNT (feat. Clementaum),130153,60,True,6jYkoKqAMfFIififI6itSO,SEQUÊNCIA CUNT (feat. Clementaum),2025-11-17,5wbf52LA6kcaboHSN6NEF1,PEDRO SAMPAIO,2025-12-21
2025-12-21 20:31:10.430000+00:00,0qEGLPc8UY9IkXl1oLCOWW,SEQUÊNCIA CUNT (feat. Clementaum),130153,60,True,6jYkoKqAMfFIififI6itSO,SEQUÊNCIA CUNT (feat. Clementaum),2025-11-17,5wbf52LA6kcaboHSN6NEF1,PEDRO SAMPAIO,2025-12-21
2025-12-21 20:29:05.999000+00:00,0qEGLPc8UY9IkXl1oLCOWW,SEQUÊNCIA CUNT (feat. Clementaum),130153,60,True,6jYkoKqAMfFIififI6itSO,SEQUÊNCIA CUNT (feat. Clementaum),2025-11-17,5wbf52LA6kcaboHSN6NEF1,PEDRO SAMPAIO,2025-12-21
2025-12-21 20:28:40.954000+00:00,0mKGwFMHzTprtS2vpR3b6s,COZY,210372,65,True,6FJxoadUE4JNVwWHghBwnb,RENAISSANCE,2022-07-29,6vWDO969PvNqNYHIOW5v0m,Beyoncé,2025-12-21
2025-12-21 22:02:37.010000+00:00,0kqatfl1V116n4U2gKZQuV,Free,353360,64,False,22lrjYvBGWwOfZ535fJXlT,Free - The Strictly Collection,1997-03-31,1cK2Abwkni7m51wJCSGllN,Ultra Naté,2025-12-21
2025-12-21 21:57:01.890000+00:00,0kqatfl1V116n4U2gKZQuV,Free,353360,64,False,22lrjYvBGWwOfZ535fJXlT,Free - The Strictly Collection,1997-03-31,1cK2Abwkni7m51wJCSGllN,Ultra Naté,2025-12-21
2025-12-21 21:54:49.095000+00:00,46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),228639,80,False,71PfP4E9roOXAudea1aPGw,eternal sunshine,2024-03-08,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,2025-12-21
2025-12-21 21:54:43.778000+00:00,46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),228639,80,False,71PfP4E9roOXAudea1aPGw,eternal sunshine,2024-03-08,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,2025-12-21
2025-12-21 21:50:59.929000+00:00,1YRbAonLvmuUILvQso0gUM,twilight zone,198320,74,False,6cbwstHlsAIIWurIIXXBPd,eternal sunshine deluxe: brighter days ahead,2025-03-28,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,2025-12-21
2025-12-21 20:47:00.676000+00:00,0W6aXi2B0UlwY0sPckvrmT,Foguinho,82971,66,False,2lHhpY2cSNO1kjyReGEfrK,Rock Doido,2025-08-29,5kn7l4yaJxtNhj583LmL9L,Gaby Amarantos,2025-12-21
2025-12-21 22:06:00.743000+00:00,0uqvSVhGgQTIdj9G51vhvv,Finally,245000,66,False,3REpPYjJhtaeJc4Mo1v4Ip,Finally,1992-01-01,5UoVLCWzOKMIJ9iioof9OD,CeCe Peniston,2025-12-21
2025-12-22 11:45:31.515000+00:00,0kqatfl1V116n4U2gKZQuV,Free,353360,64,False,22lrjYvBGWwOfZ535fJXlT,Free - The Strictly Collection,1997-03-31,1cK2Abwkni7m51wJCSGllN,Ultra Naté,2025-12-22
2025-12-22 12:36:16.333000+00:00,1Jle9gZeFa3QHNTXYLTMOV,The First Time Free - Claptone Remix,338019,55,False,3GQWpPNRTyYYofeB3cTy2U,The Masquerade mixed by Claptone Album Sampler,,1cK2Abwkni7m51wJCSGllN,Ultra Naté,2025-12-22
